user_id,user_skills,user_location
user_1,"Product Strategy, Scrum, User Stories, Stakeholder Management, Agile",Atlanta
user_2,"Keras, Deep Learning, AI, Predictive Modeling",Seattle
user_3,"Swift, Flutter, iOS, Kotlin, Sketch",Los Angeles
user_4,"Linux, Docker, Monitoring",Los Angeles
user_5,"Research, NLP, TensorFlow, Python",Atlanta
user_6,"Data Analysis, NLP, Research, Penetration Testing, SIEM",New York
user_7,"Scrum, User Stories, Backlog Grooming, Agile",Los Angeles
user_8,"SQL, TypeScript, MongoDB, Azure, Google Cloud",Atlanta
user_9,"Flutter, Kotlin, iOS, Swift",Boston
user_10,"Data Modeling, SQL, MySQL, Statistics, Machine Learning",Seattle
user_11,"Email Marketing, Digital Marketing, Social Media, Kubernetes, CI/CD",Austin
user_12,"Webpack, Angular, UI Development, Vue.js, Google Ads",Atlanta
user_13,"SIEM, Cryptography, Security Audits",Austin
user_14,"Blockchain, Web3, Smart Contracts, Content Creation, Google Analytics",Atlanta
user_15,"SQL, Oracle, Redis, MySQL, MongoDB, Scrum, Jira",Los Angeles
user_16,"Spring Boot, C#, Node.js, Redis, Python, Web3, Solidity",Austin
user_17,"AWS, Jenkins, Linux, Google Cloud, Networking, Social Media",Chicago
user_18,"JavaScript, UI Development, Next.js, Webpack, Angular",Atlanta
user_19,"Blockchain, Solidity, Web3, Smart Contracts, Ethereum",Atlanta
user_20,"Smart Contracts, Blockchain, Web3, Solidity, Ethereum, JavaScript, CSS",Seattle
user_21,"Data Analysis, Deep Learning, Research, AI, TensorFlow",San Francisco
user_22,"React Native, Kotlin, JavaScript, TypeScript",Denver
user_23,"Webpack, Next.js, CSS, UI Development, Angular, Solidity, Ethereum",San Francisco
user_24,"Backlog Grooming, User Stories, Stakeholder Management, Agile, AWS",Los Angeles
user_25,"Swift, JavaScript, Android",Atlanta
user_26,"Cybersecurity, Linux, SIEM",San Francisco
user_27,"Ethical Hacking, Firewalls, Linux, Google Ads",Los Angeles
user_28,"Cryptography, Networking, Ethical Hacking, Cloud Computing, Serverless",Chicago
user_29,"Serverless, Google Cloud, Azure, Cloud Security, Cloud Architecture, Web3",Atlanta
user_30,"Spark, Data Pipelines, Tableau, Data Analysis",San Francisco
user_31,"SQL, Oracle, PostgreSQL, MongoDB, Data Modeling",Miami
user_32,"JavaScript, Angular, Tailwind CSS, Vue.js, HTML, Pandas",Seattle
user_33,"TypeScript, Python, Docker, SQL, REST APIs",San Francisco
user_34,"Machine Learning, Power BI, Statistics, Stakeholder Management",San Francisco
user_35,"Next.js, Tailwind CSS, TypeScript",Miami
user_36,"Web3, Smart Contracts, Blockchain, Ethereum, Solidity, Data Analysis, Predictive Modeling",Atlanta
user_37,"REST APIs, Redis, SQL, GraphQL, Spring Boot",Atlanta
user_38,"SIEM, Networking, Linux",Chicago
user_39,"Statistics, Tableau, Hadoop",Atlanta
user_40,"React Native, Android, Swift, NumPy",Miami
user_41,"Figma, Wireframing, Sketch",New York
user_42,"Monitoring, Docker, Linux",Atlanta
user_43,"PostgreSQL, Data Modeling, Oracle, Redis, MongoDB, Google Ads",Boston
user_44,"Solidity, Smart Contracts, Ethereum, Blockchain, Web3, Data Modeling",Denver
user_45,"Vue.js, TypeScript, CSS, Tailwind CSS",New York
user_46,"Product Strategy, User Stories, Agile, Jira",Boston
user_47,"Stakeholder Management, Agile, User Stories, Jira, Scrum, React Native, JavaScript",Miami
user_48,"Cloud Architecture, Azure, Terraform, Cloud Computing",Seattle
user_49,"JavaScript, HTML, CSS, MongoDB",Boston
user_50,"Kubernetes, Cloud Security, Serverless, AWS, Google Cloud",Atlanta
user_51,"Python, HTML, Node.js, MongoDB, Cloud Architecture, Google Cloud",Miami
user_52,"SEO, Google Analytics, Google Ads, SEM, Content Marketing",Miami
user_53,"Email Marketing, Content Marketing, Google Analytics, Content Creation, SIEM",Chicago
user_54,"Adobe XD, UX/UI, Prototyping, Sketch, Product Roadmap",Austin
user_55,"Machine Learning, Hadoop, Big Data, Data Pipelines",Miami
user_56,"Angular, CSS, HTML, React, Networking",Seattle
user_57,"Microservices, Java, C#, REST APIs, Python, Solidity, Blockchain",Atlanta
user_58,"Design Systems, UX Research, User Testing, Wireframing, PostgreSQL, Oracle",Denver
