job_id,job_title,skills,location
job_1,Data Scientist,"SEO, Digital Marketing, Google Ads",San Francisco
job_2,Product Manager,"Java, SQL, Cloud, DevOps",Austin
job_3,UX Designer,"UX/UI, Figma, Adobe XD",New York
job_4,Marketing Lead,"SEO, Digital Marketing, Google Ads",San Francisco
job_5,Product Manager,"Python, Machine Learning, Data Analysis",Austin
job_6,Marketing Lead,"Python, Machine Learning, Data Analysis",Austin
job_7,Product Manager,"Java, SQL, Cloud, DevOps",Chicago
job_8,UX Designer,"Python, Machine Learning, Data Analysis",Seattle
job_9,Software Engineer,"UX/UI, Figma, Adobe XD",Austin
job_10,Data Scientist,"Java, SQL, Cloud, DevOps",San Francisco
job_11,Data Scientist,"TensorFlow, Keras, Python, Machine Learning",Boston
job_12,Backend Developer,"Java, Spring Boot, SQL, REST APIs",Chicago
job_13,Frontend Developer,"React, Node.js, HTML, CSS",San Francisco
job_14,DevOps Engineer,"AWS, Docker, Kubernetes, Terraform",Austin
job_15,Full Stack Developer,"JavaScript, Node.js, React, MongoDB",New York
job_16,Software Engineer,"C++, Python, Algorithms, Data Structures",Seattle
job_17,Product Designer,"Figma, Sketch, UX/UI Design",San Francisco
job_18,Marketing Manager,"Google Analytics, SEO, Content Creation",Austin
job_19,Data Analyst,"SQL, Excel, Tableau, Power BI",Chicago
job_20,Cloud Engineer,"AWS, Azure, Cloud Computing, Terraform",San Francisco
job_21,Mobile Developer,"Swift, Kotlin, Flutter, React Native",New York
job_22,Cybersecurity Specialist,"Ethical Hacking, SIEM, Cryptography",Austin
job_23,Machine Learning Engineer,"TensorFlow, Python, Data Analysis",Seattle
job_24,Product Manager,"Scrum, Jira, Agile, Cloud",Boston
job_25,Web Developer,"HTML, CSS, JavaScript, React",Chicago
job_26,AI Researcher,"Machine Learning, Python, TensorFlow, Deep Learning",San Francisco
job_27,UX/UI Designer,"Figma, Adobe XD, UX Research",Austin
job_28,Blockchain Developer,"Ethereum, Solidity, Smart Contracts",Seattle
job_29,Data Engineer,"Hadoop, Spark, SQL, Big Data",San Francisco
job_30,Product Owner,"Agile, Scrum, Jira, Product Strategy",New York
job_31,Cloud Solutions Architect,"AWS, Azure, Cloud Computing, Terraform",Austin
job_32,Salesforce Developer,"Salesforce, Apex, Lightning, CRM",San Francisco
job_33,Marketing Specialist,"Google Ads, SEO, Content Creation",Chicago
job_34,Business Analyst,"SQL, Excel, Power BI, Tableau",Seattle
job_35,Mobile App Developer,"React Native, iOS, Android, JavaScript",New York
job_36,QA Engineer,"Selenium, Automation Testing, Python",Austin
job_37,Software Developer,"Java, C++, Algorithms, Data Structures",Chicago
